"siteID","sitename","lat","lon","datasetID","acc","thickness","description"
775,"Ely Lake",41.766667,-75.833333,795,5,20,"Small lake, no bog or fen on margin."
782,"Ennadai Lake, 1972 Site",61.244444,-100.951389,802,10,20,NA
783,"Ennadai Lake",61.166667,-100.916667,803,10,20,"Peat bank. Physiography: Cockburn end moraine complex. Surrounding vegetation: Picea/Larix/Alnus/Salix."
796,"Fallback Lake",43.966667,-110.433333,818,20,20,"Glacial scour lake. Physiography: Pinyon Peak Highlands. Surrounding vegetation: Picea-Abies-Pinus albicaulis forest."
797,"Lac Faribault",58.866944,-71.716944,820,20,20,"Rock basin lake. Physiography: Morainic plateau. Surrounding vegetation: Shrub tundra / Forest tundra."
804,"Ferndale Bog",34.405556,-95.808333,828,50,20,"Peat bog on Jackfork sandstone ridge. Physiography: Ouachita Mountains. Surrounding vegetation: elm/oak/hickory/pine/willow."
804,"Ferndale Bog",34.405556,-95.808333,3126,50,15,"Peat bog on Jackfork sandstone ridge. Physiography: Ouachita Mountains. Surrounding vegetation: elm/oak/hickory/pine/willow."
811,"Floating Island Lake",44.55,-107.466667,3127,10,20,"Kettle lake with floating sedge mat. Physiography: Bighorn Mountains. Surrounding vegetation: lodgepole pine forest."
820,"Fox Pond",47.165,-95.558333,846,5,10,"Kettle lake. Physiography: Itasca Moraine, rolling."
824,"French Lake",44.945765,-94.42074,850,10,20,NA
827,"Frying Pan Lake",38.616667,-111.666667,853,20,20,"Shallow lake behind Pleistocene moraine. Physiography: horst and graben plateau. Surrounding vegetation: Pinus/Pseudotsuga/Cercocarpus/Populus."
841,"George Lake",44.2329,-93.87066,869,50,5,"Kettle lake on stagnation moraine. Original vegetation was the ""Big Woods."" dominated by Ulmus, Quercus, Acer saccharum, and Tilia americana."
844,"Giles Lake",41.376111,-75.093333,873,20,10,"Lake. Physiography: glaciated mountains. Surrounding vegetation: mixed deciduous/coniferous forest."
941,"Gould Pond",44.983333,-69.316667,971,10,20,"Bedrock controlled kettle. Physiography: strongly rolling, bedrock controlled. Surrounding vegetation: white pine-northern hardwoods/spruce-fir."
943,"Graham Lake",45.183333,-77.35,973,50,5,"Closed bedrock basin lake. Physiography: rough relief on Algonquin Highlands. Surrounding vegetation: Acer/Pinus/Fagus/Quercus/Tilia/Betula."
946,"Lac Gras",52.25,-67.066667,976,50,20,"Minimal relief, sandy terraces, eskers. Physiography: Lake Plateau, stream-fed. Surrounding vegetation: black spruce, lichen woodlands."
948,"Gravel Ridge",55.033333,-62.633333,978,50,20,"Bedrock hollow. Physiography: Harp lake uplands. Surrounding vegetation: tundra/Picea."
953,"Green Pond",41.005055,-74.49534,983,50,5,"Small lake. Physiography: glaciated mountains. Surrounding vegetation: mixed deciduous/coniferous forest."
956,"Grenadier Pond",43.64,-79.47,986,5,20,"Pond isolated by a bar from Lake Ontario."
957,"Grey Islands",50.768889,-55.516667,987,5,20,"Stream fed lake w/in exposed bedrock. Physiography: Appalachain Phys Reg, uplands. Surrounding vegetation: dwarf shrub barrens, some black spruce."
961,"Water Conservation Area 3B, Gumbo Limbo Dry Head",25.773889,-80.505556,992,10,20,"Tree island near marsh. Physiography: coastal plain. Surrounding vegetation: Rivina, Acrostichum, Bursera, Saururus."
962,"Water Conservation Area 3B, Gumbo Limbo Far Tail",25.774722,-80.505556,993,20,15,"Marsh near tree island. Physiography: coastal plain. Surrounding vegetation: Cladium, Cephalanthus, Ludwigia."
963,"Water Conservation Area 3B, Gumbo Limbo Marsh",25.778889,-80.511111,994,20,5,"Cladium marsh near tree island. Physiography: coastal plain. Surrounding vegetation: Bacopa, Eleocharis, Utricularia, Cladium."
964,"Water Conservation Area 3B, Gumbo Limbo Near Tail",25.886944,-80.561389,995,50,10,"Marsh near tree island. Physiography: coastal plain. Surrounding vegetation: Peltandra, Thelypteris, Blechum, Annona."
969,"Hafichuk Site",50.320556,-105.883889,1000,10,20,"Ephemeral prairie pothole pond. Physiography: disintegration moraine."
970,"Hail Lake",60.033333,-129.016667,1001,5,20,"Small lake. Surrounding vegetation: Picea mariana, P. glauca, Pinus contorta."
971,"Hams Lake",43.236667,-80.413333,1002,50,20,"Kettle lake. Physiography: glacial moraine. Surrounding vegetation: beech-maple forest, near oak plains."
977,"Harrie Lake",52.933333,-66.95,1008,50,15,"Fluvial origin, gently rolling terrain. Physiography: Lake Plateau. Surrounding vegetation: lichen woodland, black and white spruce."
1000,"Tourbière de Lanoraie HENRI",45.988889,-73.3,1033,20,5,"Ombrotrophic bog, ericaceous cover. Physiography: dissected deltaic plain. Surrounding vegetation: Caryo - Aceretum sacchari."
1064,"Snow Lake",56.633333,-63.883333,3771,50,15,"Small lake in glacial valley. Physiography: glacial valley. Surrounding vegetation: moss/lichen/herb/shrub."
1072,"High Lake",44.516667,-76.6,1105,20,10,"Closed lake in bedrock basin. Physiography: rough relief in Algonquin Highlands. Surrounding vegetation: Pinus/Picea/Tsuga/Abies/Acer/Quercus."
1074,"Honeymoon Pond",64.633333,-138.4,1107,50,5,"Just inside terminal moraines. Physiography: Southern Ogilvie Ranges. Surrounding vegetation: shrub tundra, isolated Picea groves."
1077,"Horseshoe Lake",45.460278,-93.047778,1110,20,20,"Lake in ice-block depression. Physiography: Anoka Sand Plain. Surrounding vegetation: Quercus ellipsoididalis, Q. macrocarpa."
1078,"Hostage Lake",46.55,-94.133333,1111,20,20,"Kettle lake in pitted outwash plain. Physiography: Crow Wing Outwash Plain. Surrounding vegetation: Pinus banksiana forest."
1081,"Howes Prairie Marsh",41.65,-87.072222,1114,50,5,"Interdunal depression (panné). Physiography: coastal dunes. Surrounding vegetation: oak-hickory forest, prairie."
1101,"Hug Lake",47.958333,-90.933333,1134,10,15,"Kettle lake. Physiography: gently sloping till plain. Surrounding vegetation: Betula/Populus/Alnus/Corylus."
1102,"Humber Pond 3",43.64,-79.48,1135,5,20,"Floodplain pond. Physiography: Humber River floodplain. Surrounding vegetation: urban Toronto."
1103,"Humber Pond 5",43.64,-79.49,1136,5,20,"Floodplain pond. Physiography: Humber River floodplain. Surrounding vegetation: urban Toronto."
1104,"Humber Pond 7",43.65,-79.5,1137,5,20,"Floodplain pond. Physiography: Humber River floodplain. Surrounding vegetation: urban Toronto."
1105,"Hustler Lake",48.233333,-92.158333,1138,20,10,"Drainage lake in Boundary Waters Area. Surrounding vegetation: pine/aspen/spruce."
1106,"Hynes Brook Salt Marsh",48.618611,-58.965,1139,10,10,"Salt marsh in stream channel. Physiography: salt marsh. Surrounding vegetation: salt marsh."
1109,"Iglutalik Lake",66.135,-66.083333,1142,20,10,NA
1114,"Indian Prairie Fen",44.633333,-122.575,1148,50,20,"Fen in cirque valley. Physiography: Cascade Range. Surrounding vegetation: 2nd growth Pseudotsuga and Abies procera."
1115,"Inglesby Lake",44.483333,-77.05,1149,20,10,"Marl-deposting lake of glacial origin."
1119,"Irvin Lake",47.135556,-93.643611,1153,10,5,"Kettle lake. Physiography: Sugar Hills area, rough rolling topo. Surrounding vegetation: Alnus, Fraxinus, Betula, Thuja, Abies."
1136,"James Bay",50.22,-80.2,1171,50,15,NA
1219,"Saint-Jean Ile d'Orléans",46.932778,-70.932778,1254,50,15,"Ombrotrophic bog, ericaceous, treed. Physiography: rock basin and clay veneer, plateau. Surrounding vegetation: Tilio - Aceretum sacchari."
1222,"Spiritwood Lake",47.074695,-98.5866,3774,50,20,"Lake lies in the Spiritwood chain of lakes, which lies in the Spiritwood buried valley complex.  Physiography: rolling collapse moraine. Surrounding vegetation: agricultural, sparse Ulmus, Quercus."
1362,"Tourbière de Lanoraie JOSEPH",45.991944,-73.302778,1397,20,20,"Ombrotrophic bog, ericaceous cover. Physiography: dissected deltaic plain. Surrounding vegetation: Caryo - Aceretum sacchari."
1416,"Marais de Keswick",44.195833,-79.512778,3454,10,20,"Marginal marsh of Simcoe lake. Physiography: remnant of Algonquin proglacial lake. Surrounding vegetation: Tilio - Aceretum sacchari."
1485,"Kirk Lake",48.233333,-121.616667,1523,20,20,"Small lake. Physiography: North Cascade range mountains."
1526,"Kylen Lake",47.35,-91.8,1564,50,15,NA
1530,"Lake Lacawac",41.381944,-75.292778,1568,20,10,"Lake. Physiography: glaciated mountains. Surrounding vegetation: mixed deciduous/coniferous forest."
1531,"Lac Colin",46.716667,-70.3,1569,50,10,NA
1532,"Lac Hamard",54.8,-67.5,1570,50,20,NA
1534,"Lac à Magie",44.263889,-66.079167,1572,50,10,"Small lake with steep sloping sides. Physiography: broad rolling lowland, Appalachian Prov.. Surrounding vegetation: Rubus, Myrica, Acer, Larix, Betula, Pice."
1541,"Lake 27",45.066667,-84.783333,1581,10,20,NA
1542,"Lake 31",67.05,-50.466667,1582,50,5,"Lake in former braided meltwater system. Physiography: glacialfluvial valley. Surrounding vegetation: shrub tundra and xerophyllous grassland."
1547,"Lake BN7",55.009167,-73.516667,1587,20,15,"Shallow lake, streamflow in and out. Physiography: Canadian shield, low relief. Surrounding vegetation: open lichen woodland."
1549,"Lake CH2",49.683333,-74.583333,1590,20,5,"Small lake. Physiography: Canadian Shield. Surrounding vegetation: boreal forest."
1550,"Lake EC1",56.283333,-75.1,1591,20,20,"Small lake."
1553,"Lake GB1",55.110833,-75.248889,1594,10,20,"Small lake on top of hill. Physiography: Canadian shield. Surrounding vegetation: open lichen woodland, burned in 1940s."
1554,"Lake GB2",56.1,-75.283333,1595,50,20,"Small lake."
1556,"Lake LB1",57.916667,-75.616667,1598,50,15,"Small lake."
1557,"Lake LR1",58.583333,-75.25,1599,20,15,"Small lake."
1558,"Lake LR3",58.578333,-75.245,1601,50,15,"Lake. Physiography: Hudson Bay Lowland. Surrounding vegetation: shrub tundra, 20 km north of treeline."
1560,"Lake PWWL",73.591389,-98.538889,1604,50,15,"Small lake. Surrounding vegetation: tundra, abun Saxifraga oppositifolia."
1566,"L'Anse aux Meadows Site",51.573333,-55.55,1611,50,15,"Small slope fen. Physiography: low relief marine terrace. Surrounding vegetation: Sphagnum/Betula/Larix/Myrica."
1569,"Tourbière de Lanoraie STJEAN",46,-73.216944,1615,20,10,"Ombrotrophic bog, ericaceous. Physiography: dissected deltaic plain. Surrounding vegetation: Tilio-Aceretum sacchari."
1585,"Lily Lake",59.2,-135.4,1632,50,20,"Headwaters lake between two low hills. Physiography: Chilkat Peninsula. Surrounding vegetation: Picea sitchensis, Tsuga heterophylla."
1590,"Little Bass Lake",47.286,-93.600465,1639,50,20,"Kettle lake in mixed coniferous-deciduous forest  on sandy outwash deposited by St Louis sub-lobe of Des Moines lobe."
1591,"Little Lake",45.143555,-66.713325,1640,10,5,"Small kettle-hole lake. Physiography: New Brunswick Highlands. Surrounding vegetation: Acer saccharum, Tsuga, Pinus."
1598,"Lake of the Clouds",48,-91.116667,1649,50,10,"Lake with two basins. Physiography: rugged, steep slopes and cliffs. Surrounding vegetation: Pinus banksiana, Fraxinus, Acer, Alnus, Cornus."
1598,"Lake of the Clouds",48,-91.116667,3482,10,10,"Lake with two basins. Physiography: rugged, steep slopes and cliffs. Surrounding vegetation: Pinus banksiana, Fraxinus, Acer, Alnus, Cornus."
1600,"Little Lake",44.668195,-63.93664,1651,50,20,"Small pond surrounded by steep banks. Physiography: broad rolling lowland, Appalachian Prov.. Surrounding vegetation: Sphagnum, P. mariana, P. glauca, Larix."
1604,"Lockport Gulf Section",43.166667,-78.716667,1655,20,20,"Ancient L. Ontario spillway channel."
1606,"Lone Fox Lake",56.716667,-119.716667,1657,20,15,"Lake in ground morainal depression. Physiography: ground moraine in Clear Hills. Surrounding vegetation: Picea mariana, P. glauca, Pinus contorta."
1611,"Loon Pond",45.033333,-68.2,1663,20,20,"Kettle lake in esker complex. Physiography: esker complex. Surrounding vegetation: spruce-fir, northern hardwoods."
1612,"Lorino Exposure",65.5,-171.7,1664,20,20,"Exposure of peat and alluvium. Physiography: coastal lowland. Surrounding vegetation: graminoid-Salix-Betula tundra."
1618,"Louise Pond",52.94643,-131.764345,1670,50,15,"Glacial scour lake. Physiography: Queen Charlotte Ranges, Louise Island. Surrounding vegetation: Tsuga mertensiana, Pinus contorta."
1619,"Loxahatchee National Wildlife Refuge Site 1 (EPA Site 7)",26.481111,-80.415556,1671,50,5,"Cladium marsh near tree island. Physiography: coastal plain. Surrounding vegetation: Cladium marsh near pop-up islands."
1629,"Lynn Lake",56.841667,-101.041944,1684,50,10,"Peat bank. Physiography: Cockburn end moraine system. Surrounding vegetation: Picea."
1642,"Mangrove Lake",32.3,-64.75,1697,20,20,"Small lake (karstic?). Physiography: dune-like hills. Surrounding vegetation: golf course."
1643,"Mansell Pond",45.041667,-68.733333,1698,50,20,"Kettle lake. Physiography: lowland, Penobscot River Valley."
1645,"Stewart's Dark Lake",45.3,-91.45,3781,10,20,NA
1653,"Lac Martyne",56.783333,-64.833333,1709,50,5,NA
1662,"Mayflower Lake",45.302778,-66.070833,1718,50,5,"Small steep sided pond. Physiography: broad rolling lowlands, Appalachian Prov. Surrounding vegetation: Thuja, Picea, Betula, Acer,."
1667,"McLaughlan Lake",45.363333,-76.554167,1723,10,20,NA
1669,"McNearney Lake",46.427222,-84.958333,1725,50,5,"Seepage lake. Physiography: gently rolling terrain. Surrounding vegetation: Pinus/Tsuga/Acer/Fagus/Populus."
1669,"McNearney Lake",46.427222,-84.958333,3485,50,10,"Seepage lake. Physiography: gently rolling terrain. Surrounding vegetation: Pinus/Tsuga/Acer/Fagus/Populus."
1669,"McNearney Lake",46.427222,-84.958333,3486,50,10,"Seepage lake. Physiography: gently rolling terrain. Surrounding vegetation: Pinus/Tsuga/Acer/Fagus/Populus."
1676,"Medicine Lake",44.98419,-97.350125,1732,50,20,"Lake in glacial outwash channel. Physiography: Prairie Coteau. Surrounding vegetation: pasture, hayed areas, Populus."
1707,"Monhegan Island Meadow",43.766667,-69.3,1763,50,15,NA
1710,"Montezuma Well",34.6492,-111.75225,1766,10,20,"Thermal spring sinkhole, 16 m deep. Surrounding vegetation: desert scrub/semidesert grassland."
1711,"Moon Lake",46.85592,-98.15984,1768,50,20,"Kettle lake. Physiography: rolling end moraine. Native vegetaton: transition from tallgrass to mixed grass prairie. Heavily agricultural today."
1712,"Moraine Lake",52.266667,-58.05,1769,50,10,NA
1716,"Moulton Pond",44.6275,-68.639167,1773,50,10,NA
1718,"Mud Creek Site 1",25.219722,-80.604722,1775,50,5,"Dwarf Rhizophora/wet prairie. Physiography: coastal plain. Surrounding vegetation: dwarf Rhizophora scrub forest."
1721,"Mud Lake (US:Minnesota:Hubbard)",46.866667,-94.75,1778,10,20,"Kettle lake in drumlin field. Physiography: outwash capped drumlin field. Surrounding vegetation: Pinus banksiana forest."
1731,"Natla Bog",63.016667,-128.8,1788,10,20,"Bog dissected by Natla River. Physiography: intermontane basin. Surrounding vegetation: Betula, Cladonia, Carex, Sphagnum."
1732,"Natural Lake",34.663333,-95.386111,1789,50,10,"Lake on floodplain, formed on shale. Physiography: Ouachita Mountains. Surrounding vegetation: cattails, willows, elms, oaks."
1733,"Nedlouc",57.65,-71.65,1791,20,15,"Rock basin lake. Physiography: Morainic plateau, shallow till. Surrounding vegetation: Shrub tundra / Forest tundra."
1741,"Nichols Brook Site",42.544722,-78.478889,1799,20,20,"Stream-bank section along Nichols Brook. Physiography: Chaffee outwash plain."
1741,"Nichols Brook Site",42.544722,-78.478889,3497,20,20,"Stream-bank section along Nichols Brook. Physiography: Chaffee outwash plain."
1760,"Water Conservation Area 3B, Nuthouse Far Tail",25.885556,-80.556667,1818,20,10,NA
1761,"Water Conservation Area 3B, Nuthouse Head",25.889167,-80.5125,1819,50,5,NA
1762,"Nutt Lake",45.216667,-79.45,1820,50,20,"Glacial scour/kettle lake. Physiography: Canadian shield, rough and rocky. Surrounding vegetation: hemlock, maple, birch, beech forest."
1766,"West Okoboji Lake",43.333333,-95.2,1824,20,10,"Lake"
1768,"Old Field",37.116667,-89.833333,1826,50,5,"Morehouse Lowland, bottomland depression. Physiography: Mississppi River bottom. Surrounding vegetation: canebrakes and bottomland swamp forest."
1772,"Ondris Pond",46.341585,-94.408,1831,10,5,"Depression in Crow Wing outwash plain. Physiography: little relief. Surrounding vegetation: oak woods."
1781,"Otto Mielke Lake",45.933333,-89.625,1840,20,10,"Seepage lake."
1792,"Park Pond 1",43.468056,-109.959444,1852,10,20,"Kettle pond. Physiography: high plateau in Wind River Range. Surrounding vegetation: Artemisia grassland (Fish Creek Park)."
1797,"Pasacaco Pond",41.516667,-71.45,1859,50,20,NA
1815,"Third Lake",48.098755,-92.010535,3788,10,5,"Lake with surrounding bog. Physiography: low relief. Surrounding vegetation: Pinus/Populus/Abies/Sphagnum."
1823,"Perch Lake",46.03,-77.34,16231,20,5,"Small lake in bedrock depression. Physiography: thin till over bedrock."
1824,"Perch Lake",51.651389,-100.898889,1888,50,20,"Small kettle lake. Physiography: Duck Mountain, Manitoba Escarpment. Surrounding vegetation: Picea, Populus."
1826,"Lac Petel",50.55,-66.266667,1890,20,15,"Steep slopes, rugged terrain. Physiography: lake shore slopes steeply, Laurentide M.. Surrounding vegetation: balsam fir, black spruce."
1827,"Peterson Slough",46.966667,-95.316667,1891,10,20,"Typha marsh with 1 ha open water. Physiography: Park Rapids Outwash Plain. Surrounding vegetation: Pinus banksiana/Quercus forest."
1842,"Pixie Lake",48.596389,-124.196667,1906,50,15,"Kettle lake. Physiography: San Juan River floodplain. Surrounding vegetation: hemlock, cedar, fir."
1896,"Poland Spring Pond",44.033333,-70.35,1961,50,20,"Kettle lake in esker complex. Physiography: esker complex. Surrounding vegetation: white pine, northern hardwoods."
1905,"Posy Lake",37.95,-111.7,1970,20,20,"Small lake on glacial till. Physiography: Aquarius plateau. Surrounding vegetation: Pinus/Pseudotsuga/Populus/Picea/Abies."
1915,"Point Escuminac",47.075,-64.8,1981,50,20,"Coastal peat cliffs, ombrotrophic bog. Physiography: level peatland."
1916,"Chesapeake Bay, Potomac River",38.026944,-76.22,1982,20,15,"Estuary. Physiography: coastal plain. Surrounding vegetation: not applicable."
1918,"Chesapeake Bay, Patuxent River (2-P-5)",38.333333,-76.309722,1984,5,20,"Estuary. Physiography: coastal plain. Surrounding vegetation: not applicable."
1934,"Pyle Site",40.666667,-84.883333,2001,10,20,"Swale."
1944,"Radtke Lake",43.4,-88.1,2011,20,20,NA
1945,"Rivière-aux-Feuilles 1",58.232778,-72.066944,2013,50,20,"Rock basin in tundra barrens. Physiography: hilly morainic landscape, shallow till. Surrounding vegetation: Forest tundra."
1946,"Rivière-aux-Feuilles 2",58.216944,-71.95,2015,50,5,"Rock basin. Physiography: shallow till-covered undulating plateau. Surrounding vegetation: Forest tundra."
1947,"Tourbière de la Rivière-aux-Feuilles",58.232778,-72.066944,2016,10,15,"Minerotrophic fen. Physiography: shallow till-covered undulating plateau. Surrounding vegetation: Forest tundra."
1974,"Redondo Lake",67.683333,-155.033333,2047,50,5,"Kettle lake. Physiography: mountain valley. Surrounding vegetation: birch tundra, alder thickets, spruce."
1976,"Redrock Lake",40.083333,-105.541667,2049,50,20,"Depression in moraine (Mid Pindale age). Physiography: low morainic ridges in Front Range. Surrounding vegetation: Pinus, Populus, Juniperus, Ericaceae."
